id,instrument,region,band,differ
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),late,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),early,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),mid,0
fp_01,jlens,upstream(<s),late,0
