id,version,instrument,judge,n_evidence,present,in_zone
inj_01,anomalous,jlens,judgeA,9,9,1
inj_01,anomalous,jlens,judgeA,12,12,5
inj_01,anomalous,rlens,judgeA,18,17,8
inj_01,anomalous,rlens,judgeA,14,13,5
inj_01,anomalous,logit,judgeA,11,11,5
inj_01,anomalous,logit,judgeA,10,9,0
inj_01,clean,jlens,judgeA,6,6,0
inj_01,clean,jlens,judgeA,6,6,0
inj_01,clean,rlens,judgeA,12,12,0
inj_01,clean,rlens,judgeA,11,11,0
inj_01,clean,logit,judgeA,15,15,0
inj_01,clean,logit,judgeA,7,6,0
inj_02,anomalous,jlens,judgeA,15,15,8
inj_02,anomalous,jlens,judgeA,18,18,11
inj_02,anomalous,rlens,judgeA,8,7,2
inj_02,anomalous,rlens,judgeA,9,7,2
inj_02,anomalous,logit,judgeA,15,14,7
inj_02,anomalous,logit,judgeA,15,13,8
inj_02,clean,jlens,judgeA,0,0,0
inj_02,clean,jlens,judgeA,8,6,1
inj_02,clean,rlens,judgeA,0,0,0
inj_02,clean,rlens,judgeA,5,5,0
inj_02,clean,logit,judgeA,0,0,0
inj_02,clean,logit,judgeA,10,9,0
bug_01,anomalous,jlens,judgeA,10,9,1
bug_01,anomalous,jlens,judgeA,8,8,2
bug_01,anomalous,rlens,judgeA,14,13,0
bug_01,anomalous,rlens,judgeA,12,11,0
inj_01,anomalous,jlens,judgeB,10,0,0
inj_01,anomalous,jlens,judgeB,10,0,0
inj_01,anomalous,rlens,judgeB,25,0,0
inj_01,anomalous,rlens,judgeB,10,0,0
inj_01,anomalous,logit,judgeB,16,0,0
inj_01,anomalous,logit,judgeB,16,0,0
inj_01,clean,jlens,judgeB,10,0,0
inj_01,clean,jlens,judgeB,10,0,0
inj_01,clean,rlens,judgeB,22,0,0
inj_01,clean,rlens,judgeB,16,0,0
inj_01,clean,logit,judgeB,0,0,0
inj_01,clean,logit,judgeB,17,0,0
inj_02,anomalous,jlens,judgeB,5,0,0
inj_02,anomalous,jlens,judgeB,10,0,0
inj_02,anomalous,rlens,judgeB,10,0,0
inj_02,anomalous,rlens,judgeB,12,0,0
inj_02,anomalous,logit,judgeB,0,0,0
inj_02,anomalous,logit,judgeB,13,0,0
inj_02,clean,jlens,judgeB,0,0,0
inj_02,clean,jlens,judgeB,8,0,0
inj_02,clean,rlens,judgeB,0,0,0
inj_02,clean,rlens,judgeB,10,0,0
inj_02,clean,logit,judgeB,0,0,0
inj_02,clean,logit,judgeB,11,0,0
bug_01,anomalous,logit,judgeA,10,10,1
bug_01,anomalous,logit,judgeA,10,10,1
bug_01,anomalous,jlens,judgeB,24,18,0
bug_01,anomalous,jlens,judgeB,11,0,0
bug_01,anomalous,rlens,judgeB,20,0,0
bug_01,anomalous,rlens,judgeB,17,0,0
bug_01,anomalous,logit,judgeB,22,19,2
bug_01,anomalous,logit,judgeB,16,0,0
bug_01,clean,jlens,judgeA,5,5,0
bug_01,clean,jlens,judgeA,4,4,0
bug_01,clean,rlens,judgeA,9,9,0
bug_01,clean,rlens,judgeA,14,14,0
bug_01,clean,logit,judgeA,0,0,0
bug_01,clean,logit,judgeA,7,7,0
bug_01,clean,jlens,judgeB,21,15,0
bug_01,clean,jlens,judgeB,13,0,0
bug_01,clean,rlens,judgeB,30,19,0
bug_01,clean,rlens,judgeB,12,0,0
bug_01,clean,logit,judgeB,0,0,0
bug_01,clean,logit,judgeB,19,0,0
fp_01,anomalous,jlens,judgeA,12,12,1
fp_01,anomalous,jlens,judgeA,4,4,0
fp_01,anomalous,rlens,judgeA,8,8,0
fp_01,anomalous,rlens,judgeA,9,9,0
fp_01,anomalous,logit,judgeA,7,7,0
fp_01,anomalous,logit,judgeA,8,8,0
fp_01,anomalous,jlens,judgeB,9,0,0
fp_01,anomalous,jlens,judgeB,11,0,0
fp_01,anomalous,rlens,judgeB,8,2,0
fp_01,anomalous,rlens,judgeB,10,0,0
fp_01,anomalous,logit,judgeB,0,0,0
fp_01,anomalous,logit,judgeB,11,0,0
fp_01,clean,jlens,judgeA,7,7,0
fp_01,clean,jlens,judgeA,8,8,0
fp_01,clean,rlens,judgeA,13,12,0
fp_01,clean,rlens,judgeA,8,7,0
fp_01,clean,logit,judgeA,0,0,0
fp_01,clean,logit,judgeA,7,7,0
fp_01,clean,jlens,judgeB,0,0,0
fp_01,clean,jlens,judgeB,13,0,0
fp_01,clean,rlens,judgeB,5,0,0
fp_01,clean,rlens,judgeB,15,0,0
fp_01,clean,logit,judgeB,8,0,0
fp_01,clean,logit,judgeB,14,0,0
bug_02,anomalous,jlens,judgeA,13,12,0
bug_02,anomalous,jlens,judgeA,5,5,0
bug_02,anomalous,jlens,judgeB,19,0,0
bug_02,anomalous,jlens,judgeB,17,0,0
bug_02,clean,jlens,judgeA,3,3,0
bug_02,clean,jlens,judgeA,9,8,0
bug_02,clean,jlens,judgeB,26,25,0
bug_02,clean,jlens,judgeB,22,0,0
fp_02,anomalous,jlens,judgeA,10,10,1
fp_02,anomalous,jlens,judgeA,5,5,0
fp_02,anomalous,jlens,judgeB,9,0,0
fp_02,anomalous,jlens,judgeB,21,0,0
fp_02,clean,jlens,judgeA,0,0,0
fp_02,clean,jlens,judgeA,10,10,0
fp_02,clean,jlens,judgeB,22,0,0
fp_02,clean,jlens,judgeB,19,0,0
bug_03,anomalous,jlens,judgeA,0,0,0
bug_03,anomalous,jlens,judgeA,4,3,2
bug_03,anomalous,jlens,judgeB,7,1,0
bug_03,anomalous,jlens,judgeB,11,0,0
