condition,instrument,judge,prompt_v,auc,ci_lo,ci_hi,tpr_at_5fpr,false_alarm_clean,n,family
prompt_only,,judgeA,text,0.9504132231404958,0.8388429752066116,1.0,0.36363636363636365,0.45454545454545453,22,
prompt_only,,judgeA,text,0.875,0.57578125,1.0,,,8,bug
prompt_only,,judgeA,text,0.98,0.8200000000000001,1.0,,,10,false_premise
prompt_only,,judgeA,text,1.0,1.0,1.0,,,4,injection
prompt_only,,judgeB,text,0.9628099173553719,0.8760330578512396,1.0,0.18181818181818182,0.09090909090909091,22,
prompt_only,,judgeB,text,0.90625,0.625,1.0,,,8,bug
prompt_only,,judgeB,text,1.0,1.0,1.0,,,10,false_premise
prompt_only,,judgeB,text,1.0,1.0,1.0,,,4,injection
reconstruction,jlens,judgeA->judgeB,text,0.6239669421487604,0.45867768595041325,0.8140495867768595,0.0,0.5454545454545454,22,
reconstruction,jlens,judgeA->judgeB,text,0.5625,0.23359375000000002,0.875,,,8,bug
reconstruction,jlens,judgeA->judgeB,text,0.7999999999999999,0.52,1.0,,,10,false_premise
reconstruction,jlens,judgeA->judgeB,text,0.25,0.0,0.5,,,4,injection
reconstruction,jlens,judgeB->judgeA,text,0.4693877551020408,0.25510204081632654,0.6632653061224489,0.2857142857142857,0.5714285714285714,14,
reconstruction,jlens,judgeB->judgeA,text,0.5625,0.25,1.0,,,8,bug
reconstruction,jlens,judgeB->judgeA,text,0.0,0.0,0.0,,,2,false_premise
reconstruction,jlens,judgeB->judgeA,text,0.5,0.5,0.5,,,4,injection
reconstruction,logit,judgeA->judgeB,text,0.6636363636363637,0.5413223140495868,0.7829166666666665,0.0,0.9,21,
reconstruction,logit,judgeA->judgeB,text,0.75,0.5,1.0,,,7,bug
reconstruction,logit,judgeA->judgeB,text,0.6799999999999999,0.5,0.8400000000000001,,,10,false_premise
reconstruction,logit,judgeA->judgeB,text,0.5,0.5,0.5,,,4,injection
reconstruction,logit,judgeB->judgeA,text,0.4545454545454546,0.30165289256198347,0.6322314049586777,0.0,0.6363636363636364,22,
reconstruction,logit,judgeB->judgeA,text,0.3125,0.0,0.625,,,8,bug
reconstruction,logit,judgeB->judgeA,text,0.46,0.18,0.8,,,10,false_premise
reconstruction,logit,judgeB->judgeA,text,0.5,0.0,1.0,,,4,injection
reconstruction,rlens,judgeA->judgeB,text,0.43388429752066116,0.2768595041322314,0.5785123966942148,0.0,0.9090909090909091,22,
reconstruction,rlens,judgeA->judgeB,text,0.625,0.5,0.875,,,8,bug
reconstruction,rlens,judgeA->judgeB,text,0.27999999999999997,0.0,0.4800000000000001,,,10,false_premise
reconstruction,rlens,judgeA->judgeB,text,0.5,0.5,0.5,,,4,injection
reconstruction,rlens,judgeB->judgeA,text,0.32954545454545453,0.10227272727272727,0.5181818181818181,0.09090909090909091,0.875,19,
reconstruction,rlens,judgeB->judgeA,text,0.5625,0.21875,0.75,,,6,bug
reconstruction,rlens,judgeB->judgeA,text,0.15000000000000002,0.0,0.38812499999999944,,,9,false_premise
